Time,sensor_m_flow.m_flow,sensor_m_flow6.m_flow,sensor_m_flow3.m_flow,sensor_m_flow4.m_flow
9420,1.4012984643248171e-45,-2.88715669707494e-22,0.72146493196487427,-0.72146493196487427
9430,4.2038953929744512e-45,-1.0544027445412437e-21,0.72373676300048828,-0.72373676300048828
9440,2.8025969286496341e-45,-6.3649412531712865e-22,0.72600865364074707,-0.72600865364074707
9450,1.4012984643248171e-45,-3.2128310429283412e-22,0.72828054428100586,-0.72828054428100586
9460,0,-9.9644491926448974e-23,0.73055243492126465,-0.73055243492126465
9470,0,3.7526113261363532e-23,0.73282426595687866,-0.73282426595687866
9480,0,9.9312400418012653e-23,0.73509615659713745,-0.73509615659713745
9490,0,9.4777314804543957e-23,0.73736804723739624,-0.73736804723739624
9500,0,3.2963079883744666e-23,0.73963993787765503,-0.73963993787765503
9510,0,-7.7108824767961692e-23,0.74191176891326904,-0.74191176891326904
9520,0,-9.9512859440360175e-23,0.74418365955352783,-0.74418365955352783
9530,0,-8.032159648854996e-23,0.74645549058914185,-0.74645549058914185
9540,0,-6.3239097575914829e-23,0.74872738122940063,-0.74872738122940063
9550,0,-4.8191156134822451e-23,0.75099921226501465,-0.75099921226501465
9560,0,-3.5103735991596024e-23,0.75327110290527344,-0.75327110290527344
9570,0,-2.3902961900183411e-23,0.75554293394088745,-0.75554293394088745
9580,0,-1.4515127430766192e-23,0.75781482458114624,-0.75781482458114624
9590,0,-6.8666855034288001e-24,0.76008665561676025,-0.76008665561676025
9600,0,-8.8425509347622049e-25,0.76235848665237427,-0.76235848665237427
9610,0,3.505380346287825e-24,0.76463037729263306,-0.76463037729263306
9620,0,6.375272491130423e-24,0.76690220832824707,-0.76690220832824707
9630,0,7.7983089332503741e-24,0.76917409896850586,-0.76917409896850586
9640,0,7.8472135762086455e-24,0.77144593000411987,-0.77144593000411987
9650,0,6.5945450572065606e-24,0.77371776103973389,-0.77371776103973389
9660,0,4.1126975359467045e-24,0.77598965167999268,-0.77598965167999268
9670,0,4.7390177931666792e-25,0.77826148271560669,-0.77826148271560669
9680,0,-4.2497767121556019e-24,0.7805333137512207,-0.7805333137512207
9690,0,-6.4882961428955108e-24,0.78280514478683472,-0.78280514478683472
9700,0,-5.9119212333830203e-24,0.78507697582244873,-0.78507697582244873
