Time,T_Charge_Inlet.T,T_charge_outlet.T,T_discharge_Inlet.T,T_discharge_outlet.T,thermocline_Insulation.port_a.m_flow,thermocline_Insulation.port_b.m_flow,pipe2.port_a.p,pipe2.port_b.p,chromoloxHeater_Power.y,sensor_T.T,Chromolox_exit_temperature.T
1020,571.8631591796875,546.86407470703125,521.86492919921875,571.8631591796875,0,0,18081.6640625,17349.9765625,200000,498.14566040039063,598.1456298828125
1030,571.8597412109375,546.86163330078125,521.863525390625,571.8597412109375,0,0,18081.66015625,17349.97265625,200000,498.14566040039063,598.1456298828125
1040,571.8560791015625,546.85906982421875,521.862060546875,571.8560791015625,0,0,18081.658203125,17349.96875,200000,498.14566040039063,598.1456298828125
1050,571.8521728515625,546.8563232421875,521.8604736328125,571.8521728515625,0,0,18081.654296875,17349.96484375,200000,498.14569091796875,598.14556884765625
1060,571.84808349609375,546.85345458984375,521.85882568359375,571.84808349609375,0,0,18081.650390625,17349.9609375,200000,498.14572143554688,598.14556884765625
1070,571.84796142578125,546.853271484375,521.85858154296875,571.84796142578125,0,0,18081.650390625,17349.962890625,200000,498.14572143554688,598.14556884765625
1080,571.84820556640625,546.853271484375,521.85833740234375,571.84820556640625,0,0,18081.650390625,17349.962890625,200000,498.14569091796875,598.14556884765625
1090,571.848388671875,546.853271484375,521.858154296875,571.848388671875,0,0,18081.65234375,17349.962890625,200000,498.14569091796875,598.14556884765625
1100,571.8486328125,546.853271484375,521.85797119140625,571.8486328125,0,0,18081.65234375,17349.96484375,200000,498.14569091796875,598.14556884765625
1110,571.84881591796875,546.853271484375,521.85772705078125,571.84881591796875,0,0,18081.65234375,17349.96484375,200000,498.14569091796875,598.14556884765625
1120,571.8489990234375,546.85321044921875,521.85748291015625,571.8489990234375,0,0,18081.654296875,17349.96484375,200000,498.14569091796875,598.14556884765625
1130,571.84912109375,546.85321044921875,521.8572998046875,571.84912109375,0,0,18081.654296875,17349.96484375,200000,498.14569091796875,598.14556884765625
1140,571.8492431640625,546.8531494140625,521.8570556640625,571.8492431640625,0,0,18081.654296875,17349.966796875,200000,498.14569091796875,598.14556884765625
1150,571.84942626953125,546.85308837890625,521.8568115234375,571.84942626953125,0,0,18081.65625,17349.966796875,200000,498.14569091796875,598.14556884765625
1160,571.8494873046875,546.85302734375,521.85662841796875,571.8494873046875,0,0,18081.65625,17349.966796875,200000,498.14569091796875,598.14556884765625
1170,571.849609375,546.85296630859375,521.85638427734375,571.849609375,0,0,18081.65625,17349.96875,200000,498.14569091796875,598.14556884765625
1180,571.8497314453125,546.8529052734375,521.85614013671875,571.8497314453125,0,0,18081.65625,17349.96875,200000,498.14569091796875,598.14556884765625
1190,571.84979248046875,546.85284423828125,521.85589599609375,571.84979248046875,0,0,18081.658203125,17349.96875,200000,498.14569091796875,598.14556884765625
1200,571.849853515625,546.85272216796875,521.8555908203125,571.849853515625,0,0,18081.658203125,17349.96875,200000,498.14566040039063,598.14556884765625
1210,571.84991455078125,546.8526611328125,521.8553466796875,571.84991455078125,0,0,18081.658203125,17349.970703125,200000,498.14566040039063,598.1456298828125
1220,571.8499755859375,546.8525390625,521.8551025390625,571.8499755859375,0,0,18081.658203125,17349.970703125,200000,498.14566040039063,598.1456298828125
1230,571.8499755859375,546.8524169921875,521.8548583984375,571.8499755859375,0,0,18081.66015625,17349.970703125,200000,498.14566040039063,598.1456298828125
1240,571.85003662109375,546.852294921875,521.85455322265625,571.85003662109375,0,0,18081.66015625,17349.970703125,200000,498.14566040039063,598.1456298828125
1250,571.85003662109375,546.8521728515625,521.85430908203125,571.85003662109375,0,0,18081.66015625,17349.97265625,200000,498.14566040039063,598.1456298828125
1260,571.85003662109375,546.85198974609375,521.85400390625,571.85003662109375,0,0,18081.66015625,17349.97265625,200000,498.14566040039063,598.1456298828125
1270,571.8499755859375,546.85186767578125,521.853759765625,571.8499755859375,0,0,18081.662109375,17349.97265625,200000,498.14566040039063,598.1456298828125
1280,571.8499755859375,546.8516845703125,521.85345458984375,571.8499755859375,0,0,18081.662109375,17349.97265625,200000,498.14566040039063,598.1456298828125
1290,571.84991455078125,546.8515625,521.85321044921875,571.84991455078125,0,0,18081.662109375,17349.97265625,200000,498.14566040039063,598.1456298828125
1300,571.849853515625,546.85137939453125,521.8529052734375,571.849853515625,0,0,18081.662109375,17349.974609375,200000,498.14566040039063,598.1456298828125
1310,571.84979248046875,546.8511962890625,521.85260009765625,571.84979248046875,0,0,18081.662109375,17349.974609375,200000,498.14566040039063,598.1456298828125
1320,571.8497314453125,546.85101318359375,521.852294921875,571.8497314453125,0,0,18081.662109375,17349.974609375,200000,498.14566040039063,598.1456298828125
1330,571.84967041015625,546.850830078125,521.85198974609375,571.84967041015625,0,0,18081.6640625,17349.974609375,200000,498.14566040039063,598.1456298828125
1340,571.84954833984375,546.85064697265625,521.8516845703125,571.84954833984375,0,0,18081.6640625,17349.974609375,200000,498.14566040039063,598.1456298828125
1350,571.84942626953125,546.85040283203125,521.85137939453125,571.84942626953125,0,0,18081.6640625,17349.974609375,200000,498.14566040039063,598.1456298828125
1360,571.84930419921875,546.8502197265625,521.85107421875,571.84930419921875,0,0,18081.6640625,17349.9765625,200000,498.14566040039063,598.1456298828125
1370,571.84918212890625,546.8499755859375,521.85076904296875,571.84918212890625,0,0,18081.6640625,17349.9765625,200000,498.14566040039063,598.1456298828125
1380,571.84906005859375,546.8497314453125,521.8504638671875,571.84906005859375,0,0,18081.6640625,17349.9765625,200000,498.1456298828125,598.1456298828125
1390,571.84893798828125,546.84954833984375,521.85009765625,571.84893798828125,0,0,18081.666015625,17349.9765625,200000,498.1456298828125,598.1456298828125
1400,571.8487548828125,546.84930419921875,521.84979248046875,571.8487548828125,0,0,18081.666015625,17349.9765625,200000,498.1456298828125,598.1456298828125
1410,571.84857177734375,546.84906005859375,521.8494873046875,571.84857177734375,0,0,18081.666015625,17349.9765625,200000,498.1456298828125,598.1456298828125
1420,571.848388671875,546.8487548828125,521.84912109375,571.848388671875,0,0,18081.666015625,17349.9765625,200000,498.1456298828125,598.1456298828125
1430,571.84820556640625,546.8485107421875,521.84881591796875,571.84820556640625,0,0,18081.666015625,17349.978515625,200000,498.1456298828125,598.1456298828125
1440,571.8480224609375,546.8482666015625,521.84844970703125,571.8480224609375,0,0,18081.666015625,17349.978515625,200000,498.1456298828125,598.1456298828125
1450,571.84783935546875,546.84796142578125,521.84814453125,571.84783935546875,0,0,18081.666015625,17349.978515625,200000,498.1456298828125,598.1456298828125
1460,571.84759521484375,546.84771728515625,521.8477783203125,571.84759521484375,0,0,18081.666015625,17349.978515625,200000,498.1456298828125,598.1456298828125
1470,571.847412109375,546.847412109375,521.847412109375,571.847412109375,0,0,18081.666015625,17349.978515625,200000,498.1456298828125,598.1456298828125
1480,571.84716796875,546.84710693359375,521.84710693359375,571.84716796875,0,0,18081.66796875,17349.978515625,200000,498.1456298828125,598.1456298828125
1490,571.846923828125,546.8468017578125,521.84674072265625,571.846923828125,0,0,18081.66796875,17349.978515625,200000,498.1456298828125,598.1456298828125
1500,571.8466796875,546.84649658203125,521.84637451171875,571.8466796875,0,0,18081.66796875,17349.978515625,200000,498.1456298828125,598.1456298828125
1510,571.84637451171875,546.84619140625,521.84600830078125,571.84637451171875,0,0,18081.66796875,17349.978515625,200000,498.1456298828125,598.1456298828125
1520,571.84613037109375,546.84588623046875,521.84564208984375,571.84613037109375,0,0,18081.66796875,17349.978515625,200000,498.1456298828125,598.1456298828125
1530,571.8458251953125,546.8455810546875,521.84527587890625,571.8458251953125,0,0,18081.66796875,17349.978515625,200000,498.1456298828125,598.1456298828125
1540,571.8455810546875,546.84521484375,521.84490966796875,571.8455810546875,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1550,571.84527587890625,546.84490966796875,521.84454345703125,571.84527587890625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1560,571.844970703125,546.84454345703125,521.84417724609375,571.844970703125,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1570,571.84466552734375,546.84423828125,521.84381103515625,571.84466552734375,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1580,571.84429931640625,546.8438720703125,521.84344482421875,571.84429931640625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1590,571.843994140625,546.843505859375,521.843017578125,571.843994140625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1600,571.84368896484375,546.8431396484375,521.8426513671875,571.84368896484375,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1610,571.84332275390625,546.8427734375,521.84228515625,571.84332275390625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1620,571.84295654296875,546.8424072265625,521.84185791015625,571.84295654296875,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1630,571.84259033203125,546.842041015625,521.84149169921875,571.84259033203125,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1640,571.84222412109375,546.8416748046875,521.84112548828125,571.84222412109375,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1650,571.84185791015625,546.84130859375,521.8406982421875,571.84185791015625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1660,571.84149169921875,546.84088134765625,521.84033203125,571.84149169921875,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1670,571.84112548828125,546.84051513671875,521.83990478515625,571.84112548828125,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1680,571.8406982421875,546.840087890625,521.8394775390625,571.8406982421875,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1690,571.84033203125,546.8397216796875,521.839111328125,571.84033203125,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1700,571.83990478515625,546.83929443359375,521.83868408203125,571.83990478515625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1710,571.8394775390625,546.8388671875,521.8382568359375,571.8394775390625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1720,571.83905029296875,546.83843994140625,521.837890625,571.83905029296875,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1730,571.838623046875,546.83807373046875,521.83746337890625,571.838623046875,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1740,571.83819580078125,546.837646484375,521.8370361328125,571.83819580078125,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1750,571.8377685546875,546.83721923828125,521.83660888671875,571.8377685546875,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1760,571.83734130859375,546.8367919921875,521.836181640625,571.83734130859375,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1770,571.83685302734375,546.8363037109375,521.8358154296875,571.83685302734375,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1780,571.83642578125,546.83587646484375,521.83538818359375,571.83642578125,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1790,571.8359375,546.83544921875,521.8349609375,571.8359375,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1800,571.83551025390625,546.83502197265625,521.83453369140625,571.83551025390625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1800,571.83551025390625,546.83502197265625,521.83453369140625,571.83551025390625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1800,571.83551025390625,546.83502197265625,521.83453369140625,571.83551025390625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1800,571.83551025390625,546.83502197265625,521.83453369140625,571.83551025390625,0,0,18081.66796875,17349.98046875,200000,498.1456298828125,598.1456298828125
1802.142333984375,571.83154296875,546.83050537109375,521.8294677734375,571.83154296875,0,0,18081.669921875,17350.802734375,199999.9375,498.14529418945313,598.15423583984375
1802.142333984375,571.83154296875,546.83050537109375,521.8294677734375,571.83154296875,0,0,18081.669921875,17350.802734375,199999.9375,498.14529418945313,598.15423583984375
1802.143310546875,598.1478271484375,492.88299560546875,495.5133056640625,598.1478271484375,0.0020000000949949026,-0.0020000000949949026,18081.669921875,17349.47265625,199999.9375,498.14529418945313,598.15423583984375
1802.143310546875,598.1478271484375,492.88299560546875,495.5133056640625,598.1478271484375,0.0020000000949949026,-0.0020000000949949026,18081.669921875,17349.47265625,199999.9375,498.14529418945313,598.15423583984375
1810,598.015625,492.88528442382813,495.3759765625,598.015625,0.041030026972293854,-0.041030026972293854,18080.703125,17317.123046875,200000,498.166259765625,593.9169921875
