Time,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[1].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[100].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[200].T,thermocline_Insulation.simpleWall[1].material.T,thermocline_Insulation.simpleWall[100].material.T,thermocline_Insulation.simpleWall[200].material.T
490,493.07553100585938,493.07553100585938,493.07553100585938,493.0137939453125,493.0137939453125,493.0137939453125
500,493.07388305664063,493.07388305664063,493.07388305664063,493.01214599609375,493.01214599609375,493.01214599609375
510,493.07223510742188,493.07223510742188,493.07223510742188,493.010498046875,493.010498046875,493.010498046875
520,493.07058715820313,493.07058715820313,493.07058715820313,493.00885009765625,493.00885009765625,493.00885009765625
530,493.06893920898438,493.06893920898438,493.06893920898438,493.0072021484375,493.0072021484375,493.0072021484375
540,493.06729125976563,493.06729125976563,493.06729125976563,493.00558471679688,493.00558471679688,493.00558471679688
550,493.06564331054688,493.06564331054688,493.06564331054688,493.00393676757813,493.00393676757813,493.00393676757813
560,493.06396484375,493.06396484375,493.06396484375,493.00228881835938,493.00228881835938,493.00228881835938
570,493.06231689453125,493.06231689453125,493.06231689453125,493.00064086914063,493.00064086914063,493.00064086914063
580,493.0606689453125,493.0606689453125,493.0606689453125,492.99899291992188,492.99899291992188,492.99899291992188
590,493.05902099609375,493.05902099609375,493.05902099609375,492.99737548828125,492.99737548828125,492.99737548828125
600,493.057373046875,493.057373046875,493.057373046875,492.9957275390625,492.9957275390625,492.9957275390625
610,493.05572509765625,493.05572509765625,493.05572509765625,492.99407958984375,492.99407958984375,492.99407958984375
620,493.0540771484375,493.0540771484375,493.0540771484375,492.992431640625,492.992431640625,492.992431640625
630,493.05242919921875,493.05242919921875,493.05242919921875,492.99081420898438,492.99081420898438,492.99081420898438
640,493.05078125,493.05078125,493.05078125,492.98916625976563,492.98916625976563,492.98916625976563
650,493.04913330078125,493.04913330078125,493.04913330078125,492.98751831054688,492.98751831054688,492.98751831054688
660,493.0474853515625,493.0474853515625,493.0474853515625,492.98587036132813,492.98587036132813,492.98587036132813
670,493.04586791992188,493.04586791992188,493.04586791992188,492.9842529296875,492.9842529296875,492.9842529296875
680,493.04421997070313,493.04421997070313,493.04421997070313,492.98260498046875,492.98260498046875,492.98260498046875
690,493.04257202148438,493.04257202148438,493.04257202148438,492.98095703125,492.98095703125,492.98095703125
700,493.04092407226563,493.04092407226563,493.04092407226563,492.97930908203125,492.97930908203125,492.97930908203125
710,493.03927612304688,493.03927612304688,493.03927612304688,492.97769165039063,492.97769165039063,492.97769165039063
720,493.03762817382813,493.03762817382813,493.03762817382813,492.97604370117188,492.97604370117188,492.97604370117188
730,493.03598022460938,493.03598022460938,493.03598022460938,492.97439575195313,492.97439575195313,492.97439575195313
740,493.03433227539063,493.03433227539063,493.03433227539063,492.9727783203125,492.9727783203125,492.9727783203125
750,493.03268432617188,493.03268432617188,493.03268432617188,492.97113037109375,492.97113037109375,492.97113037109375
760,493.03103637695313,493.03103637695313,493.03103637695313,492.969482421875,492.969482421875,492.969482421875
770,493.02938842773438,493.02938842773438,493.02938842773438,492.96786499023438,492.96786499023438,492.96786499023438
780,493.02774047851563,493.02774047851563,493.02774047851563,492.96621704101563,492.96621704101563,492.96621704101563
790,493.02609252929688,493.02609252929688,493.02609252929688,492.96456909179688,492.96456909179688,492.96456909179688
800,493.02447509765625,493.02447509765625,493.02447509765625,492.96295166015625,492.96295166015625,492.96295166015625
810,493.0228271484375,493.0228271484375,493.0228271484375,492.9613037109375,492.9613037109375,492.9613037109375
820,493.02117919921875,493.02117919921875,493.02117919921875,492.95968627929688,492.95968627929688,492.95968627929688
830,493.01953125,493.01953125,493.01953125,492.95803833007813,492.95803833007813,492.95803833007813
840,493.01788330078125,493.01788330078125,493.01788330078125,492.95639038085938,492.95639038085938,492.95639038085938
850,493.0162353515625,493.0162353515625,493.0162353515625,492.95477294921875,492.95477294921875,492.95477294921875
860,493.01458740234375,493.01458740234375,493.01458740234375,492.953125,492.953125,492.953125
870,493.01296997070313,493.01296997070313,493.01296997070313,492.95150756835938,492.95150756835938,492.95150756835938
880,493.01132202148438,493.01132202148438,493.01132202148438,492.94985961914063,492.94985961914063,492.94985961914063
890,493.00967407226563,493.00967407226563,493.00967407226563,492.94821166992188,492.94821166992188,492.94821166992188
900,493.00802612304688,493.00802612304688,493.00802612304688,492.94659423828125,492.94659423828125,492.94659423828125
910,493.00637817382813,493.00637817382813,493.00637817382813,492.9449462890625,492.9449462890625,492.9449462890625
920,493.0047607421875,493.0047607421875,493.0047607421875,492.94332885742188,492.94332885742188,492.94332885742188
930,493.00311279296875,493.00311279296875,493.00311279296875,492.94168090820313,492.94168090820313,492.94168090820313
940,493.00146484375,493.00146484375,493.00146484375,492.9400634765625,492.9400634765625,492.9400634765625
